example_id                                                               | status  | run_time        |
./spec/controllers/rt/volunteers_demands_controller_spec.rb[1:2:1:1]     | passed  | 0.04146 seconds |
./spec/controllers/rt/volunteers_demands_controller_spec.rb[1:2:1:2]     | passed  | 0.18797 seconds |
./spec/controllers/rt/volunteers_demands_controller_spec.rb[1:2:1:3]     | passed  | 0.03371 seconds |
./spec/controllers/rt/volunteers_demands_controller_spec.rb[1:2:2:1]     | passed  | 0.0437 seconds  |
./spec/controllers/rt/volunteers_demands_controller_spec.rb[1:2:2:2]     | passed  | 0.03275 seconds |
./spec/features/projects_spec.rb[1:1]                                    | passed  | 0.19696 seconds |
./spec/features/projects_spec.rb[1:2]                                    | passed  | 0.3466 seconds  |
./spec/features/projects_spec.rb[1:3]                                    | passed  | 0.65091 seconds |
./spec/features/projects_spec.rb[1:4:1:1]                                | passed  | 0.17775 seconds |
./spec/features/rt_volunteer_subscribe_spec.rb[1:1:1]                    | failed  | 1.58 seconds    |
./spec/features/rt_volunteer_subscribe_spec.rb[1:1:2]                    | passed  | 0.22646 seconds |
./spec/features/rt_volunteer_subscribe_spec.rb[1:1:3]                    | passed  | 0.24664 seconds |
./spec/features/rt_volunteer_subscribe_spec.rb[1:1:4]                    | passed  | 0.10504 seconds |
./spec/features/welcome_spec.rb[1:1]                                     | passed  | 0.17849 seconds |
./spec/features/welcome_spec.rb[1:2]                                     | passed  | 0.13897 seconds |
./spec/features/welcome_spec.rb[1:3]                                     | passed  | 0.09418 seconds |
./spec/features/welcome_spec.rb[1:4]                                     | passed  | 0.58611 seconds |
./spec/i18n_spec.rb[1:1]                                                 | unknown |                 |
./spec/i18n_spec.rb[1:2]                                                 | unknown |                 |
./spec/models/rt/activity_publishing_spec.rb[1:1]                        | passed  | 0.02235 seconds |
./spec/models/rt/activity_unpublishing_spec.rb[1:1]                      | passed  | 0.03738 seconds |
./spec/models/rt/entity_subscribe_spec.rb[1:1]                           | passed  | 0.03805 seconds |
./spec/models/rt/entity_unsubscribe_spec.rb[1:1]                         | passed  | 0.01167 seconds |
./spec/models/rt/other_spec.rb[1:1]                                      | passed  | 0.0106 seconds  |
./spec/models/rt/project_publishing_spec.rb[1:1]                         | passed  | 0.01763 seconds |
./spec/models/rt/project_unpublishing_spec.rb[1:1]                       | passed  | 0.03119 seconds |
./spec/models/rt/volunteer_amendment_spec.rb[1:1]                        | passed  | 0.01924 seconds |
./spec/models/rt/volunteer_appointment_spec.rb[1:1]                      | passed  | 0.0109 seconds  |
./spec/models/rt/volunteer_subscribe_spec.rb[1:1]                        | passed  | 0.02195 seconds |
./spec/models/rt/volunteer_subscribe_spec.rb[1:2]                        | passed  | 0.00628 seconds |
./spec/models/rt/volunteer_subscribe_spec.rb[1:3]                        | passed  | 0.00714 seconds |
./spec/models/rt/volunteer_subscribe_spec.rb[1:4]                        | passed  | 0.00692 seconds |
./spec/models/rt/volunteer_subscribe_spec.rb[1:5]                        | passed  | 0.00605 seconds |
./spec/models/rt/volunteer_unsubscribe_spec.rb[1:1]                      | passed  | 0.12125 seconds |
./spec/models/rt/volunteers_demand_spec.rb[1:1]                          | passed  | 0.05017 seconds |
